y,const,L,K,pop,edu,group,cl,Long,Lat
9.67418122,1,-7.912372052,-5.426419132,12.52848218,11,1,1,16.52265521,47.54309288
9.901686638,1,-7.813704617,-5.274151483,14.24551867,13,2,1,15.76264836,48.26729816
10.43463954,1,-7.495309898,-4.721194645,14.25456517,19.2,3,1,16.39072025,48.21630135
9.914729735,1,-7.759442774,-5.286010349,13.23590633,11.3,4,1,13.92775315,46.77610657
9.951941461,1,-7.704593039,-5.196071047,13.98330206,11.6,5,1,15.00674362,47.26763331
10.06558604,1,-7.660062702,-5.187687837,14.13148121,13.3,6,1,13.96357749,48.13609575
10.20893465,1,-7.571089564,-5.003473109,13.14968667,15.5,7,1,13.07719874,47.39259506
10.10936879,1,-7.62552039,-4.976719328,13.41425657,12.2,8,1,11.49895708,47.20135756
10.12638369,1,-7.68902329,-5.137957325,12.76357191,14.1,9,1,9.890525684,47.23625188
10.77463397,1,-7.313137219,-4.812008069,13.77663459,37,10,2,4.379035941,50.83438819
10.20753544,1,-7.767832182,-5.129957988,14.31303815,26.9,11,1,4.718656466,51.23187323
9.86199052,1,-7.884770736,-5.219591901,13.58354067,22.1,12,1,5.429025263,50.98787248
9.898150659,1,-7.899599035,-5.325881799,14.12494923,26.5,13,1,3.804713395,51.03496781
10.05452433,1,-7.854325633,-5.144720241,13.83194477,33.3,14,1,4.586244572,50.87486281
9.982962463,1,-7.782745992,-5.200367229,13.93717937,23.4,15,1,3.053241859,51.01042158
10.03323641,1,-7.975204884,-5.133876015,12.76851301,39.1,16,1,4.604147742,50.67001538
9.606144272,1,-8.090007789,-5.798217431,14.06203464,21.9,17,1,3.974202082,50.47054653
9.754315453,1,-7.968804873,-5.532183414,13.8349896,23.6,18,1,5.737503587,50.51732663
9.713068707,1,-7.989156817,-5.34425774,12.41997362,26.1,19,1,5.517753485,49.9540737
9.676079656,1,-8.015830256,-5.554230324,13.00558234,25.5,20,1,4.85586941,50.24739613
8.455360569,1,-8.049083425,-7.115020918,13.88710537,18.8,21,1,23.86282106,43.4207762
8.376938552,1,-7.900644056,-7.73716636,13.85847426,18.8,22,1,26.06872059,43.47204111
8.537440088,1,-7.866334226,-6.751387192,13.83721334,18.5,23,1,27.33817139,43.37550076
8.613894073,1,-7.734181685,-7.207698678,14.00325903,18.5,24,1,26.54889754,42.47421281
8.88003392,1,-7.731608597,-6.908595607,14.57767994,25.8,25,1,23.34293333,42.31428591
8.29632586,1,-7.858810671,-6.876719335,14.33472093,16.4,26,1,25.03108882,41.93800341
9.780415066,1,-7.698416796,-5.640349121,13.45022724,25.1,27,1,33.22363419,35.05105624
10.18600285,1,-7.322503677,-4.803060731,13.98435842,25.5,28,1,14.46482815,50.06675463
9.506159205,1,-7.7322093,-5.308293737,13.92252471,8.1,29,1,14.55768074,50.00451069
9.444115023,1,-7.64068363,-5.409158156,13.97927771,9.3,30,1,13.92312755,49.31057361
9.328283787,1,-7.73691685,-5.87287752,13.93945237,7.4,31,1,13.42654179,50.3933735
9.401164807,1,-7.668218639,-5.658412878,14.2135683,9.4,32,1,15.77905416,50.28257513
9.376865987,1,-7.67858153,-5.558236119,14.32106833,12.3,33,1,16.1744429,49.24179622
9.288829441,1,-7.735307548,-5.710295891,14.03057355,10,34,1,17.43335461,49.53721239
9.24866175,1,-7.798925497,-5.828130287,14.06232376,9.8,35,1,17.98830687,49.82179363
10.29632332,1,-7.509882489,-5.100947852,15.17116013,25.8,36,1,9.616458213,49.02487599
10.16978603,1,-7.537955733,-5.248803181,14.78593335,26.2,37,1,8.673554751,49.01400664
10.01812886,1,-7.579242457,-5.285661422,14.55870426,22.3,38,1,8.224015427,48.02433327
10.06853556,1,-7.560233504,-5.20545412,14.36838942,24.8,39,1,9.497238384,48.13213121
10.42768606,1,-7.458889438,-4.831456345,15.20770746,28.7,40,1,11.7519118,48.10479959
9.935160379,1,-7.614013633,-5.164884937,13.967914,18.2,41,1,12.78554119,48.70395818
9.994599102,1,-7.573788456,-5.206550214,13.88490602,17.2,42,1,12.12534966,49.3909256
9.907679335,1,-7.593135674,-5.462995226,13.920483,20.5,43,1,11.37573992,50.0541164
10.12573303,1,-7.520193961,-5.13417291,14.32839406,23,44,1,10.78742398,49.35052932
10.00366254,1,-7.598343219,-5.271656458,14.09829566,19,45,1,9.948031318,50.01102043
9.997943797,1,-7.585490437,-5.111122642,14.3729182,21.6,46,1,10.51944066,48.16468984
10.03602402,1,-7.620021195,-5.347496504,15.00907236,33.6,47,1,13.39925744,52.49252133
9.631980189,1,-7.769444591,-5.168249816,14.76355186,32.4,48,1,13.40446898,52.46817469
10.30449237,1,-7.41974806,-5.220770441,13.39581974,19.5,49,1,8.744832273,53.17899698
10.62096344,1,-7.372097305,-5.007519414,14.32984203,25.4,50,2,9.897844813,53.5757743
10.41232325,1,-7.504274342,-5.210682398,15.12225022,26.8,51,1,8.765081651,50.05498925
9.915959023,1,-7.70508288,-5.351241146,13.87068979,22.9,52,1,8.746703322,50.64055117
9.940354025,1,-7.634777238,-5.317576574,14.04835094,19.9,53,1,9.457981236,51.04880481
9.585660055,1,-7.744396677,-5.270446903,14.38651835,27.8,54,1,12.53943825,53.75214643
10.09630867,1,-7.686509695,-4.98258935,14.31890665,19.1,55,1,10.34450857,52.03531888
10.01838278,1,-7.62725377,-5.17692967,14.57316188,23,56,1,9.360675591,52.3974908
9.684773894,1,-7.832057431,-5.299390724,14.31961968,19.8,57,1,9.78796097,53.18524154
9.886652821,1,-7.664608844,-5.350975379,14.69100013,17.9,58,1,7.76829619,52.938266
10.12078958,1,-7.608825369,-5.37570984,15.46790642,19,59,1,6.59321305,51.43680226
10.16742281,1,-7.616578833,-5.303276813,15.25491194,22.3,60,1,6.799469774,50.82699664
9.861878294,1,-7.702177966,-5.456389315,14.770137,18.8,61,1,7.423422228,51.95273878
10.00286022,1,-7.609589214,-5.380090177,14.53274529,18.1,62,1,8.785285381,51.93565822
9.897605501,1,-7.669502674,-5.524518936,15.14313978,17.5,63,1,8.006680435,51.31301808
